Expression	Value	Location	Type	
ucDet_APL	<array>""	0x9059'11e0	UCHAR[30]	
[0]	0	0x9059'11e0	UCHAR	
[1]	0	0x9059'11e1	UCHAR	
[2]	0	0x9059'11e2	UCHAR	
[3]	0	0x9059'11e3	UCHAR	
[4]	0	0x9059'11e4	UCHAR	
[5]	0	0x9059'11e5	UCHAR	
[6]	0	0x9059'11e6	UCHAR	
[7]	0	0x9059'11e7	UCHAR	
[8]	0	0x9059'11e8	UCHAR	
[9]	0	0x9059'11e9	UCHAR	
[10]	0	0x9059'11ea	UCHAR	
[11]	0	0x9059'11eb	UCHAR	
[12]	0	0x9059'11ec	UCHAR	
[13]	0	0x9059'11ed	UCHAR	
[14]	0	0x9059'11ee	UCHAR	
[15]	0	0x9059'11ef	UCHAR	
[16]	250	0x9059'11f0	UCHAR	
[17]	250	0x9059'11f1	UCHAR	
[18]	0	0x9059'11f2	UCHAR	
[19]	0	0x9059'11f3	UCHAR	
[20]	0	0x9059'11f4	UCHAR	
[21]	0	0x9059'11f5	UCHAR	
[22]	250	0x9059'11f6	UCHAR	
[23]	250	0x9059'11f7	UCHAR	
[24]	0	0x9059'11f8	UCHAR	
[25]	0	0x9059'11f9	UCHAR	
[26]	0	0x9059'11fa	UCHAR	
[27]	0	0x9059'11fb	UCHAR	
[28]	0	0x9059'11fc	UCHAR	
[29]	0	0x9059'11fd	UCHAR	
