Expression	Value	Location	Type	
ucDet_APL_Rot	"<array>"""""	0x2000'8f1c	UCHAR[3200]	
[0]	0	0x2000'8f1c	UCHAR
[1]	0	0x2000'8f1d	UCHAR
[2]	0	0x2000'8f1e	UCHAR
[3]	0	0x2000'8f1f	UCHAR
[4]	0	0x2000'8f20	UCHAR
[5]	0	0x2000'8f21	UCHAR
[6]	0	0x2000'8f22	UCHAR
[7]	0	0x2000'8f23	UCHAR
[8]	0	0x2000'8f24	UCHAR
[9]	0	0x2000'8f25	UCHAR
[10]	0	0x2000'8f26	UCHAR
[11]	0	0x2000'8f27	UCHAR
[12]	0	0x2000'8f28	UCHAR
[13]	0	0x2000'8f29	UCHAR
[14]	0	0x2000'8f2a	UCHAR
[15]	0	0x2000'8f2b	UCHAR
[16]	0	0x2000'8f2c	UCHAR
[17]	0	0x2000'8f2d	UCHAR
[18]	0	0x2000'8f2e	UCHAR
[19]	0	0x2000'8f2f	UCHAR
[20]	0	0x2000'8f30	UCHAR
[21]	0	0x2000'8f31	UCHAR
[22]	0	0x2000'8f32	UCHAR
[23]	0	0x2000'8f33	UCHAR
[24]	0	0x2000'8f34	UCHAR
[25]	0	0x2000'8f35	UCHAR
[26]	0	0x2000'8f36	UCHAR
[27]	0	0x2000'8f37	UCHAR
[28]	0	0x2000'8f38	UCHAR
[29]	0	0x2000'8f39	UCHAR
[30]	0	0x2000'8f3a	UCHAR
[31]	0	0x2000'8f3b	UCHAR
[32]	0	0x2000'8f3c	UCHAR
[33]	0	0x2000'8f3d	UCHAR
[34]	0	0x2000'8f3e	UCHAR
[35]	0	0x2000'8f3f	UCHAR
[36]	0	0x2000'8f40	UCHAR
[37]	0	0x2000'8f41	UCHAR
[38]	0	0x2000'8f42	UCHAR
[39]	0	0x2000'8f43	UCHAR
[40]	0	0x2000'8f44	UCHAR
[41]	0	0x2000'8f45	UCHAR
[42]	0	0x2000'8f46	UCHAR
[43]	0	0x2000'8f47	UCHAR
[44]	0	0x2000'8f48	UCHAR
[45]	0	0x2000'8f49	UCHAR
[46]	0	0x2000'8f4a	UCHAR
[47]	0	0x2000'8f4b	UCHAR
[48]	0	0x2000'8f4c	UCHAR
[49]	0	0x2000'8f4d	UCHAR
[50]	0	0x2000'8f4e	UCHAR
[51]	0	0x2000'8f4f	UCHAR
[52]	0	0x2000'8f50	UCHAR
[53]	0	0x2000'8f51	UCHAR
[54]	0	0x2000'8f52	UCHAR
[55]	0	0x2000'8f53	UCHAR
[56]	0	0x2000'8f54	UCHAR
[57]	0	0x2000'8f55	UCHAR
[58]	0	0x2000'8f56	UCHAR
[59]	0	0x2000'8f57	UCHAR
[60]	0	0x2000'8f58	UCHAR
[61]	0	0x2000'8f59	UCHAR
[62]	0	0x2000'8f5a	UCHAR
[63]	0	0x2000'8f5b	UCHAR
[64]	0	0x2000'8f5c	UCHAR
[65]	0	0x2000'8f5d	UCHAR
[66]	0	0x2000'8f5e	UCHAR
[67]	0	0x2000'8f5f	UCHAR
[68]	0	0x2000'8f60	UCHAR
[69]	0	0x2000'8f61	UCHAR
[70]	0	0x2000'8f62	UCHAR
[71]	0	0x2000'8f63	UCHAR
[72]	0	0x2000'8f64	UCHAR
[73]	0	0x2000'8f65	UCHAR
[74]	0	0x2000'8f66	UCHAR
[75]	0	0x2000'8f67	UCHAR
[76]	0	0x2000'8f68	UCHAR
[77]	0	0x2000'8f69	UCHAR
[78]	0	0x2000'8f6a	UCHAR
[79]	0	0x2000'8f6b	UCHAR
[80]	0	0x2000'8f6c	UCHAR
[81]	0	0x2000'8f6d	UCHAR
[82]	0	0x2000'8f6e	UCHAR
[83]	0	0x2000'8f6f	UCHAR
[84]	0	0x2000'8f70	UCHAR
[85]	0	0x2000'8f71	UCHAR
[86]	0	0x2000'8f72	UCHAR
[87]	0	0x2000'8f73	UCHAR
[88]	0	0x2000'8f74	UCHAR
[89]	0	0x2000'8f75	UCHAR
[90]	0	0x2000'8f76	UCHAR
[91]	0	0x2000'8f77	UCHAR
[92]	0	0x2000'8f78	UCHAR
[93]	0	0x2000'8f79	UCHAR
[94]	0	0x2000'8f7a	UCHAR
[95]	0	0x2000'8f7b	UCHAR
[96]	0	0x2000'8f7c	UCHAR
[97]	0	0x2000'8f7d	UCHAR
[98]	0	0x2000'8f7e	UCHAR
[99]	0	0x2000'8f7f	UCHAR
[100]	0	0x2000'8f80	UCHAR
[101]	0	0x2000'8f81	UCHAR
[102]	0	0x2000'8f82	UCHAR
[103]	0	0x2000'8f83	UCHAR
[104]	0	0x2000'8f84	UCHAR
[105]	0	0x2000'8f85	UCHAR
[106]	0	0x2000'8f86	UCHAR
[107]	0	0x2000'8f87	UCHAR
[108]	0	0x2000'8f88	UCHAR
[109]	0	0x2000'8f89	UCHAR
[110]	0	0x2000'8f8a	UCHAR
[111]	0	0x2000'8f8b	UCHAR
[112]	0	0x2000'8f8c	UCHAR
[113]	0	0x2000'8f8d	UCHAR
[114]	0	0x2000'8f8e	UCHAR
[115]	0	0x2000'8f8f	UCHAR
[116]	0	0x2000'8f90	UCHAR
[117]	0	0x2000'8f91	UCHAR
[118]	0	0x2000'8f92	UCHAR
[119]	0	0x2000'8f93	UCHAR
[120]	0	0x2000'8f94	UCHAR
[121]	0	0x2000'8f95	UCHAR
[122]	0	0x2000'8f96	UCHAR
[123]	0	0x2000'8f97	UCHAR
[124]	0	0x2000'8f98	UCHAR
[125]	0	0x2000'8f99	UCHAR
[126]	0	0x2000'8f9a	UCHAR
[127]	0	0x2000'8f9b	UCHAR
[128]	0	0x2000'8f9c	UCHAR
[129]	0	0x2000'8f9d	UCHAR
[130]	0	0x2000'8f9e	UCHAR
[131]	0	0x2000'8f9f	UCHAR
[132]	0	0x2000'8fa0	UCHAR
[133]	0	0x2000'8fa1	UCHAR
[134]	0	0x2000'8fa2	UCHAR
[135]	0	0x2000'8fa3	UCHAR
[136]	0	0x2000'8fa4	UCHAR
[137]	0	0x2000'8fa5	UCHAR
[138]	0	0x2000'8fa6	UCHAR
[139]	0	0x2000'8fa7	UCHAR
[140]	0	0x2000'8fa8	UCHAR
[141]	0	0x2000'8fa9	UCHAR
[142]	0	0x2000'8faa	UCHAR
[143]	0	0x2000'8fab	UCHAR
[144]	0	0x2000'8fac	UCHAR
[145]	0	0x2000'8fad	UCHAR
[146]	0	0x2000'8fae	UCHAR
[147]	0	0x2000'8faf	UCHAR
[148]	0	0x2000'8fb0	UCHAR
[149]	0	0x2000'8fb1	UCHAR
[150]	0	0x2000'8fb2	UCHAR
[151]	0	0x2000'8fb3	UCHAR
[152]	0	0x2000'8fb4	UCHAR
[153]	0	0x2000'8fb5	UCHAR
[154]	0	0x2000'8fb6	UCHAR
[155]	0	0x2000'8fb7	UCHAR
[156]	0	0x2000'8fb8	UCHAR
[157]	0	0x2000'8fb9	UCHAR
[158]	0	0x2000'8fba	UCHAR
[159]	0	0x2000'8fbb	UCHAR
[160]	0	0x2000'8fbc	UCHAR
[161]	0	0x2000'8fbd	UCHAR
