Expression	Value	Location	Type	
ucDet_APL_Rot	<array>""	0x2000'3420	UCHAR[3200]	
[0]	0	0x2000'3420	UCHAR	
[1]	0	0x2000'3421	UCHAR	
[2]	0	0x2000'3422	UCHAR	
[3]	0	0x2000'3423	UCHAR	
[4]	0	0x2000'3424	UCHAR	
[5]	0	0x2000'3425	UCHAR	
[6]	0	0x2000'3426	UCHAR	
[7]	0	0x2000'3427	UCHAR	
[8]	0	0x2000'3428	UCHAR	
[9]	0	0x2000'3429	UCHAR	
[10]	0	0x2000'342a	UCHAR	
[11]	0	0x2000'342b	UCHAR	
[12]	0	0x2000'342c	UCHAR	
[13]	0	0x2000'342d	UCHAR	
[14]	0	0x2000'342e	UCHAR	
[15]	0	0x2000'342f	UCHAR	
[16]	0	0x2000'3430	UCHAR	
[17]	0	0x2000'3431	UCHAR	
[18]	0	0x2000'3432	UCHAR	
[19]	0	0x2000'3433	UCHAR	
[20]	0	0x2000'3434	UCHAR	
[21]	0	0x2000'3435	UCHAR	
[22]	0	0x2000'3436	UCHAR	
[23]	0	0x2000'3437	UCHAR	
[24]	0	0x2000'3438	UCHAR	
[25]	0	0x2000'3439	UCHAR	
[26]	0	0x2000'343a	UCHAR	
[27]	0	0x2000'343b	UCHAR	
[28]	0	0x2000'343c	UCHAR	
[29]	0	0x2000'343d	UCHAR	
[30]	0	0x2000'343e	UCHAR	
[31]	0	0x2000'343f	UCHAR	
[32]	0	0x2000'3440	UCHAR	
[33]	0	0x2000'3441	UCHAR	
[34]	0	0x2000'3442	UCHAR	
[35]	0	0x2000'3443	UCHAR	
[36]	0	0x2000'3444	UCHAR	
[37]	0	0x2000'3445	UCHAR	
[38]	0	0x2000'3446	UCHAR	
[39]	0	0x2000'3447	UCHAR	
[40]	0	0x2000'3448	UCHAR	
[41]	0	0x2000'3449	UCHAR	
[42]	0	0x2000'344a	UCHAR	
[43]	0	0x2000'344b	UCHAR	
[44]	0	0x2000'344c	UCHAR	
[45]	0	0x2000'344d	UCHAR	
[46]	0	0x2000'344e	UCHAR	
[47]	0	0x2000'344f	UCHAR	
[48]	0	0x2000'3450	UCHAR	
[49]	0	0x2000'3451	UCHAR	
[50]	0	0x2000'3452	UCHAR	
[51]	0	0x2000'3453	UCHAR	
[52]	0	0x2000'3454	UCHAR	
[53]	0	0x2000'3455	UCHAR	
[54]	0	0x2000'3456	UCHAR	
[55]	0	0x2000'3457	UCHAR	
[56]	0	0x2000'3458	UCHAR	
[57]	0	0x2000'3459	UCHAR	
[58]	0	0x2000'345a	UCHAR	
[59]	0	0x2000'345b	UCHAR	
[60]	0	0x2000'345c	UCHAR	
[61]	0	0x2000'345d	UCHAR	
[62]	0	0x2000'345e	UCHAR	
[63]	0	0x2000'345f	UCHAR	
[64]	0	0x2000'3460	UCHAR	
[65]	0	0x2000'3461	UCHAR	
[66]	0	0x2000'3462	UCHAR	
[67]	0	0x2000'3463	UCHAR	
[68]	0	0x2000'3464	UCHAR	
[69]	0	0x2000'3465	UCHAR	
[70]	0	0x2000'3466	UCHAR	
[71]	0	0x2000'3467	UCHAR	
[72]	0	0x2000'3468	UCHAR	
[73]	0	0x2000'3469	UCHAR	
[74]	0	0x2000'346a	UCHAR	
[75]	0	0x2000'346b	UCHAR	
[76]	0	0x2000'346c	UCHAR	
[77]	0	0x2000'346d	UCHAR	
[78]	0	0x2000'346e	UCHAR	
[79]	0	0x2000'346f	UCHAR	
[80]	0	0x2000'3470	UCHAR	
[81]	0	0x2000'3471	UCHAR	
[82]	0	0x2000'3472	UCHAR	
[83]	0	0x2000'3473	UCHAR	
[84]	0	0x2000'3474	UCHAR	
[85]	0	0x2000'3475	UCHAR	
[86]	0	0x2000'3476	UCHAR	
[87]	0	0x2000'3477	UCHAR	
[88]	0	0x2000'3478	UCHAR	
[89]	0	0x2000'3479	UCHAR	
[90]	0	0x2000'347a	UCHAR	
[91]	0	0x2000'347b	UCHAR	
[92]	0	0x2000'347c	UCHAR	
[93]	0	0x2000'347d	UCHAR	
[94]	0	0x2000'347e	UCHAR	
[95]	0	0x2000'347f	UCHAR	
[96]	0	0x2000'3480	UCHAR	
[97]	0	0x2000'3481	UCHAR	
[98]	0	0x2000'3482	UCHAR	
[99]	0	0x2000'3483	UCHAR	
[100]	0	0x2000'3484	UCHAR	
[101]	0	0x2000'3485	UCHAR	
[102]	0	0x2000'3486	UCHAR	
[103]	0	0x2000'3487	UCHAR	
[104]	0	0x2000'3488	UCHAR	
[105]	0	0x2000'3489	UCHAR	
[106]	0	0x2000'348a	UCHAR	
[107]	0	0x2000'348b	UCHAR	
[108]	0	0x2000'348c	UCHAR	
[109]	0	0x2000'348d	UCHAR	
[110]	0	0x2000'348e	UCHAR	
[111]	0	0x2000'348f	UCHAR	
[112]	0	0x2000'3490	UCHAR	
[113]	0	0x2000'3491	UCHAR	
